title,description,category,priority,days_until_due,due_date
Address null pointer exception in React frontend,QA found this reproducible on notification service under session load.,Bug Fix,MEDIUM,7,2026-08-20
Add regression tests for payments service,"Coverage on backend API is below target; add tests before release. No rush, whenever you get a chance.",Testing,LOW,42,2026-09-24
Upgrade search service dependencies,Remove dead search code left over from the old notification service implementation. Important for the client demo next week.,Maintenance,HIGH,5,2026-08-18
Redesign React frontend settings page,Create a design spec for the new payments service experience. This is high priority for the upcoming release.,Design,HIGH,4,2026-08-17
Research mobile options for admin dashboard,Team needs a recommendation on export approach for checkout flow. Can be picked up next quarter.,Research,LOW,43,2026-09-25
Resolve login failure for chat users,"Regression introduced by last sprint's changes to checkout flow; needs a hotfix. Nice to have, low priority.",Bug Fix,LOW,34,2026-09-16
Add integration tests for user profile flow,QA wants automated E2E coverage for reporting before launch.,Testing,MEDIUM,7,2026-08-20
Update README for React frontend service,New engineers need clearer docs on how billing module works.,Documentation,MEDIUM,6,2026-08-19
Clean up unused chat in mobile app,"Tech debt in reporting engine is slowing down feature work, needs refactor. Nice to have, low priority.",Maintenance,LOW,24,2026-09-06
Build new mobile app onboarding flow,Customer requested mobile functionality for payments service. This is blocking the release and needs to be fixed ASAP.,Feature Development,URGENT,-2,2026-08-11
Research checkout options for user service,Unclear why reporting engine is slow under search; needs investigation.,Research,MEDIUM,12,2026-08-25
Coordinate user profile kickoff meeting,"Need to align stakeholders on auth service before next sprint. No rush, whenever you get a chance.",Meeting/Admin,LOW,43,2026-09-25
Rotate checkout credentials for reporting engine,"Pen test found an exposed checkout in the search service API. Needed before end of sprint, please prioritize.",Security,HIGH,4,2026-08-17
Prepare slides for payments service review,Book time with mobile app team to discuss user profile plan.,Meeting/Admin,MEDIUM,14,2026-08-27
Configure autoscaling for search service,"search service deploys are manual and error-prone; automate with CI/CD. Customer-facing outage, top priority.",DevOps/Infrastructure,URGENT,1,2026-08-14
Document SSO setup process,"API consumers are confused about payments service usage, needs docs.",Documentation,MEDIUM,9,2026-08-22
Build new auth service onboarding flow,Product wants SSO support added to the admin dashboard module this quarter.,Feature Development,MEDIUM,9,2026-08-22
Fix exposed payment endpoint in checkout flow,"Security scan flagged a chat vulnerability in payments service. Someday/maybe, not time sensitive.",Security,LOW,18,2026-08-31
Migrate reporting engine to new cluster,Ops wants alerting configured for user service before it handles more traffic.,DevOps/Infrastructure,MEDIUM,8,2026-08-21
Refactor legacy auth service code,"Remove dead checkout code left over from the old reporting engine implementation. Someday/maybe, not time sensitive.",Maintenance,LOW,21,2026-09-03
Fix exposed reporting endpoint in billing module,Security scan flagged a OAuth token vulnerability in search service. Important for the client demo next week.,Security,HIGH,1,2026-08-14
Patch export vulnerability in checkout flow,Pen test found an exposed reporting in the search service API.,Security,MEDIUM,3,2026-08-16
Add OAuth token filtering to payments service dashboard,Product wants SSO support added to the payments service module this quarter.,Feature Development,MEDIUM,10,2026-08-23
Clean up unused authentication in checkout flow,Remove dead billing code left over from the old notification service implementation. Important for the client demo next week.,Maintenance,HIGH,3,2026-08-16
Audit user service for security issues,"Compliance requires rotating session used by mobile app this month. No rush, whenever you get a chance.",Security,LOW,53,2026-10-05
Update payments service to latest framework version,"Tech debt in mobile app is slowing down feature work, needs refactor. No rush, whenever you get a chance.",Maintenance,LOW,14,2026-08-27
Clean up unused checkout in admin dashboard,"user service dependencies are several versions behind and need upgrading. Someday/maybe, not time sensitive.",Maintenance,LOW,54,2026-10-06
Set up monitoring for user service service,Need to migrate notification service off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,10,2026-08-23
Update README for user service service,"The OAuth token process isn't documented anywhere; write a guide. Needed before end of sprint, please prioritize.",Documentation,HIGH,2,2026-08-15
Write API docs for auth service endpoints,"New engineers need clearer docs on how reporting engine works. Someday/maybe, not time sensitive.",Documentation,LOW,22,2026-09-04
Add export filtering to user service dashboard,Customer requested session functionality for reporting engine.,Feature Development,MEDIUM,9,2026-08-22
Rotate billing credentials for billing module,Pen test found an exposed chat in the search service API.,Security,MEDIUM,6,2026-08-19
Create onboarding guide for backend API,"API consumers are confused about reporting engine usage, needs docs. Needed before end of sprint, please prioritize.",Documentation,HIGH,3,2026-08-16
Investigate mobile performance issue in backend API,Explore whether billing is viable for the reporting engine rewrite.,Research,MEDIUM,12,2026-08-25
Schedule sprint planning for reporting engine,Book time with admin dashboard team to discuss chat plan.,Meeting/Admin,MEDIUM,4,2026-08-17
Upgrade search service dependencies,"Remove dead analytics code left over from the old auth service implementation. No rush, whenever you get a chance.",Maintenance,LOW,57,2026-10-09
Clean up unused upload in backend API,"Tech debt in backend API is slowing down feature work, needs refactor.",Maintenance,MEDIUM,11,2026-08-24
Coordinate authentication kickoff meeting,Prepare status update for user profile to share with leadership. This is a P0 blocker for the launch tomorrow.,Meeting/Admin,URGENT,0,2026-08-13
Audit auth service for security issues,Pen test found an exposed upload in the payments service API.,Security,MEDIUM,13,2026-08-26
Design UI mockups for search service,"Need updated mockups for billing module before dev starts. Urgent request from the CEO, needs to ship today.",Design,URGENT,0,2026-08-13
Write architecture doc for admin dashboard,"The mobile process isn't documented anywhere; write a guide. Critical: production is down, all hands on this now.",Documentation,URGENT,-1,2026-08-12
Coordinate SSO kickoff meeting,Prepare status update for SSO to share with leadership. This is high priority for the upcoming release.,Meeting/Admin,HIGH,5,2026-08-18
Fix broken checkout button on payments service page,"Stack trace shows a OAuth token exception thrown from the search service handler. Someday/maybe, not time sensitive.",Bug Fix,LOW,38,2026-09-20
Write E2E tests for analytics checkout,Coverage on checkout flow is below target; add tests before release. Can be picked up next quarter.,Testing,LOW,17,2026-08-30
Design UI mockups for payments service,"Current authentication UI feels dated, redesign requested by stakeholders. Needed before end of sprint, please prioritize.",Design,HIGH,5,2026-08-18
Write E2E tests for export checkout,"The billing flow has no automated tests, causing repeat regressions. Important for the client demo next week.",Testing,HIGH,1,2026-08-14
Design icon set for auth service,"Current chat UI feels dated, redesign requested by stakeholders. No rush, whenever you get a chance.",Design,LOW,48,2026-09-30
Set up monitoring for auth service service,Need to migrate admin dashboard off legacy infrastructure this quarter. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,3,2026-08-16
Fix exposed billing endpoint in auth service,Compliance requires rotating payment used by reporting engine this month.,Security,MEDIUM,6,2026-08-19
Clean up unused export in reporting engine,billing module dependencies are several versions behind and need upgrading. This is blocking the release and needs to be fixed ASAP.,Maintenance,URGENT,-2,2026-08-11
Resolve data corruption in billing module,Users report export fails intermittently after the latest deploy to search service.,Bug Fix,MEDIUM,14,2026-08-27
Redesign backend API settings page,Need updated mockups for React frontend before dev starts. This is a P0 blocker for the launch tomorrow.,Design,URGENT,-1,2026-08-12
Patch analytics vulnerability in React frontend,"Security scan flagged a OAuth token vulnerability in checkout flow. Needed before end of sprint, please prioritize.",Security,HIGH,5,2026-08-18
Write API docs for payments service endpoints,The user profile process isn't documented anywhere; write a guide.,Documentation,MEDIUM,4,2026-08-17
Coordinate SSO kickoff meeting,Book time with auth service team to discuss session plan. Can be picked up next quarter.,Meeting/Admin,LOW,30,2026-09-12
Write API docs for backend API endpoints,The authentication process isn't documented anywhere; write a guide. Can be picked up next quarter.,Documentation,LOW,30,2026-09-12
Create onboarding guide for search service,New engineers need clearer docs on how user service works. Important for the client demo next week.,Documentation,HIGH,1,2026-08-14
Write architecture doc for user service,"New engineers need clearer docs on how auth service works. Customer-facing outage, top priority.",Documentation,URGENT,0,2026-08-13
Implement checkout export for React frontend,"Design has finalized mockups for the SSO feature in search service. Customer-facing outage, top priority.",Feature Development,URGENT,-1,2026-08-12
Fix crash when export on user service,Regression introduced by last sprint's changes to reporting engine; needs a hotfix. Important for the client demo next week.,Bug Fix,HIGH,5,2026-08-18
Fix race condition in user service module,"QA found this reproducible on reporting engine under OAuth token load. No rush, whenever you get a chance.",Bug Fix,LOW,48,2026-09-30
Write unit tests for reporting engine module,"The checkout flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,8,2026-08-21
Configure autoscaling for backend API,Ops wants alerting configured for React frontend before it handles more traffic.,DevOps/Infrastructure,MEDIUM,8,2026-08-21
Create SSO integration with admin dashboard,"New requirement from sales: billing module needs search capability. Customer-facing outage, top priority.",Feature Development,URGENT,-1,2026-08-12
Design icon set for React frontend,Create a design spec for the new mobile app experience.,Design,MEDIUM,13,2026-08-26
Prepare slides for backend API review,"Need to align stakeholders on reporting engine before next sprint. Nice to have, low priority.",Meeting/Admin,LOW,45,2026-09-27
Research SSO options for billing module,Explore whether user profile is viable for the search service rewrite.,Research,MEDIUM,10,2026-08-23
Fix crash when reporting on backend API,Regression introduced by last sprint's changes to reporting engine; needs a hotfix. This is blocking the release and needs to be fixed ASAP.,Bug Fix,URGENT,-1,2026-08-12
Update billing module to latest framework version,checkout flow dependencies are several versions behind and need upgrading. This is high priority for the upcoming release.,Maintenance,HIGH,1,2026-08-14
Create onboarding guide for backend API,"The session process isn't documented anywhere; write a guide. Critical: production is down, all hands on this now.",Documentation,URGENT,-2,2026-08-11
Write API docs for admin dashboard endpoints,"New engineers need clearer docs on how checkout flow works. Needed before end of sprint, please prioritize.",Documentation,HIGH,1,2026-08-14
Implement billing export for checkout flow,New requirement from sales: notification service needs checkout capability.,Feature Development,MEDIUM,14,2026-08-27
Investigate checkout performance issue in auth service,Explore whether chat is viable for the payments service rewrite. This is high priority for the upcoming release.,Research,HIGH,1,2026-08-14
Rotate reporting credentials for React frontend,"Security scan flagged a user profile vulnerability in payments service. Nice to have, low priority.",Security,LOW,58,2026-10-10
Provision new search environment,checkout flow deploys are manual and error-prone; automate with CI/CD. This is blocking the release and needs to be fixed ASAP.,DevOps/Infrastructure,URGENT,1,2026-08-14
Write API docs for search service endpoints,New engineers need clearer docs on how backend API works. This is high priority for the upcoming release.,Documentation,HIGH,5,2026-08-18
Design icon set for search service,Create a design spec for the new notification service experience. Important for the client demo next week.,Design,HIGH,5,2026-08-18
Set up retro for payments service team,Book time with backend API team to discuss analytics plan.,Meeting/Admin,MEDIUM,14,2026-08-27
Schedule sprint planning for admin dashboard,Prepare status update for authentication to share with leadership.,Meeting/Admin,MEDIUM,6,2026-08-19
Add support for checkout in checkout flow,Design has finalized mockups for the OAuth token feature in billing module.,Feature Development,MEDIUM,10,2026-08-23
Increase test coverage on notification service,Coverage on payments service is below target; add tests before release.,Testing,MEDIUM,10,2026-08-23
Prepare slides for auth service review,Need to align stakeholders on auth service before next sprint.,Meeting/Admin,MEDIUM,6,2026-08-19
Investigate reporting performance issue in checkout flow,"Unclear why React frontend is slow under mobile; needs investigation. Nice to have, low priority.",Research,LOW,24,2026-09-06
Fix race condition in React frontend module,Users report session fails intermittently after the latest deploy to notification service. Can be picked up next quarter.,Bug Fix,LOW,40,2026-09-22
Increase test coverage on React frontend,"The payment flow has no automated tests, causing repeat regressions. Important for the client demo next week.",Testing,HIGH,2,2026-08-15
Evaluate checkout libraries for search service,"Explore whether billing is viable for the backend API rewrite. Nice to have, low priority.",Research,LOW,27,2026-09-09
Fix exposed search endpoint in user service,Pen test found an exposed search in the search service API. Can be picked up next quarter.,Security,LOW,31,2026-09-13
Increase test coverage on backend API,QA wants automated E2E coverage for upload before launch. This is high priority for the upcoming release.,Testing,HIGH,4,2026-08-17
Set up retro for mobile app team,Need to align stakeholders on admin dashboard before next sprint.,Meeting/Admin,MEDIUM,13,2026-08-26
Rotate upload credentials for billing module,"Security scan flagged a checkout vulnerability in user service. Someday/maybe, not time sensitive.",Security,LOW,27,2026-09-09
Fix exposed OAuth token endpoint in search service,Pen test found an exposed mobile in the reporting engine API.,Security,MEDIUM,6,2026-08-19
Increase test coverage on checkout flow,"Coverage on checkout flow is below target; add tests before release. No rush, whenever you get a chance.",Testing,LOW,40,2026-09-22
Fix crash when billing on reporting engine,Users report authentication fails intermittently after the latest deploy to billing module.,Bug Fix,MEDIUM,14,2026-08-27
Create billing integration with notification service,Product wants chat support added to the backend API module this quarter.,Feature Development,MEDIUM,9,2026-08-22
Add integration tests for reporting flow,"Coverage on React frontend is below target; add tests before release. Urgent request from the CEO, needs to ship today.",Testing,URGENT,-1,2026-08-12
Schedule sprint planning for search service,Need to align stakeholders on reporting engine before next sprint.,Meeting/Admin,MEDIUM,8,2026-08-21
Schedule sprint planning for auth service,Need to align stakeholders on reporting engine before next sprint. This is high priority for the upcoming release.,Meeting/Admin,HIGH,3,2026-08-16
Investigate analytics performance issue in checkout flow,"Explore whether upload is viable for the notification service rewrite. No rush, whenever you get a chance.",Research,LOW,53,2026-10-05
Set up CI/CD pipeline for auth service,"Need to migrate backend API off legacy infrastructure this quarter. Urgent request from the CEO, needs to ship today.",DevOps/Infrastructure,URGENT,1,2026-08-14
Patch reporting vulnerability in mobile app,"Security scan flagged a export vulnerability in billing module. Nice to have, low priority.",Security,LOW,22,2026-09-04
Migrate React frontend to new cluster,"Ops wants alerting configured for reporting engine before it handles more traffic. Nice to have, low priority.",DevOps/Infrastructure,LOW,28,2026-09-10
Configure autoscaling for admin dashboard,Ops wants alerting configured for user service before it handles more traffic. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,3,2026-08-16
Set up monitoring for billing module service,Ops wants alerting configured for React frontend before it handles more traffic.,DevOps/Infrastructure,MEDIUM,11,2026-08-24
Clean up unused billing in checkout flow,"Tech debt in auth service is slowing down feature work, needs refactor. No rush, whenever you get a chance.",Maintenance,LOW,26,2026-09-08
Schedule sprint planning for user service,"Need to align stakeholders on React frontend before next sprint. Urgent request from the CEO, needs to ship today.",Meeting/Admin,URGENT,-2,2026-08-11
Create onboarding guide for notification service,"API consumers are confused about backend API usage, needs docs. Needed before end of sprint, please prioritize.",Documentation,HIGH,5,2026-08-18
Create onboarding guide for user service,"The analytics process isn't documented anywhere; write a guide. Critical: production is down, all hands on this now.",Documentation,URGENT,-2,2026-08-11
Fix incorrect OAuth token calculation in billing module,"Regression introduced by last sprint's changes to checkout flow; needs a hotfix. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,3,2026-08-16
Set up retro for admin dashboard team,Book time with admin dashboard team to discuss search plan. Important for the client demo next week.,Meeting/Admin,HIGH,2,2026-08-15
Coordinate user profile kickoff meeting,Need to align stakeholders on admin dashboard before next sprint.,Meeting/Admin,MEDIUM,5,2026-08-18
Rotate analytics credentials for billing module,"Pen test found an exposed search in the payments service API. Nice to have, low priority.",Security,LOW,24,2026-09-06
Write unit tests for mobile app module,QA wants automated E2E coverage for search before launch. This is high priority for the upcoming release.,Testing,HIGH,2,2026-08-15
Upgrade mobile app dependencies,"Tech debt in mobile app is slowing down feature work, needs refactor.",Maintenance,MEDIUM,5,2026-08-18
Clean up unused checkout in backend API,"Tech debt in search service is slowing down feature work, needs refactor. Someday/maybe, not time sensitive.",Maintenance,LOW,34,2026-09-16
Write API docs for billing module endpoints,"API consumers are confused about auth service usage, needs docs. Someday/maybe, not time sensitive.",Documentation,LOW,32,2026-09-14
Rotate SSO credentials for checkout flow,Compliance requires rotating session used by search service this month. This is high priority for the upcoming release.,Security,HIGH,4,2026-08-17
Patch memory leak in billing module service,Users report user profile fails intermittently after the latest deploy to backend API.,Bug Fix,MEDIUM,6,2026-08-19
Coordinate checkout kickoff meeting,"Need to align stakeholders on auth service before next sprint. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,2,2026-08-15
Create wireframes for mobile flow,Create a design spec for the new search service experience.,Design,MEDIUM,4,2026-08-17
Update search service to latest framework version,"Tech debt in checkout flow is slowing down feature work, needs refactor.",Maintenance,MEDIUM,3,2026-08-16
Set up monitoring for reporting engine service,Need to migrate user service off legacy infrastructure this quarter.,DevOps/Infrastructure,MEDIUM,7,2026-08-20
Configure autoscaling for search service,"Ops wants alerting configured for notification service before it handles more traffic. Someday/maybe, not time sensitive.",DevOps/Infrastructure,LOW,40,2026-09-22
Coordinate search kickoff meeting,"Prepare status update for analytics to share with leadership. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,5,2026-08-18
Add payment filtering to admin dashboard dashboard,"Customer requested OAuth token functionality for billing module. No rush, whenever you get a chance.",Feature Development,LOW,51,2026-10-03
Research mobile options for user service,Explore whether session is viable for the admin dashboard rewrite.,Research,MEDIUM,11,2026-08-24
Prepare slides for payments service review,Prepare status update for user profile to share with leadership.,Meeting/Admin,MEDIUM,7,2026-08-20
Audit billing module for security issues,Compliance requires rotating billing used by notification service this month. This is blocking the release and needs to be fixed ASAP.,Security,URGENT,-1,2026-08-12
Redesign auth service settings page,"Current checkout UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,7,2026-08-20
Evaluate billing libraries for reporting engine,"Explore whether payment is viable for the backend API rewrite. Urgent request from the CEO, needs to ship today.",Research,URGENT,1,2026-08-14
Add support for analytics in mobile app,"Customer requested upload functionality for user service. Someday/maybe, not time sensitive.",Feature Development,LOW,58,2026-10-10
Build new reporting engine onboarding flow,Product wants OAuth token support added to the admin dashboard module this quarter. This is high priority for the upcoming release.,Feature Development,HIGH,2,2026-08-15
Set up monitoring for reporting engine service,"payments service deploys are manual and error-prone; automate with CI/CD. Urgent request from the CEO, needs to ship today.",DevOps/Infrastructure,URGENT,1,2026-08-14
Set up CI/CD pipeline for admin dashboard,Ops wants alerting configured for React frontend before it handles more traffic.,DevOps/Infrastructure,MEDIUM,13,2026-08-26
Write API docs for payments service endpoints,"API consumers are confused about mobile app usage, needs docs. Can be picked up next quarter.",Documentation,LOW,31,2026-09-13
Set up CI/CD pipeline for checkout flow,Need to migrate payments service off legacy infrastructure this quarter. This is a P0 blocker for the launch tomorrow.,DevOps/Infrastructure,URGENT,0,2026-08-13
Set up monitoring for mobile app service,notification service deploys are manual and error-prone; automate with CI/CD. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,2,2026-08-15
Upgrade search service dependencies,"payments service dependencies are several versions behind and need upgrading. Someday/maybe, not time sensitive.",Maintenance,LOW,36,2026-09-18
Redesign search service settings page,Create a design spec for the new mobile app experience. Important for the client demo next week.,Design,HIGH,1,2026-08-14
Add search filtering to reporting engine dashboard,New requirement from sales: notification service needs analytics capability. This is high priority for the upcoming release.,Feature Development,HIGH,2,2026-08-15
Create analytics integration with React frontend,"Product wants mobile support added to the search service module this quarter. No rush, whenever you get a chance.",Feature Development,LOW,26,2026-09-08
Implement SSO export for auth service,"Product wants billing support added to the React frontend module this quarter. No rush, whenever you get a chance.",Feature Development,LOW,18,2026-08-31
Design UI mockups for React frontend,Need updated mockups for checkout flow before dev starts. This is high priority for the upcoming release.,Design,HIGH,2,2026-08-15
Set up CI/CD pipeline for payments service,Ops wants alerting configured for checkout flow before it handles more traffic. This is high priority for the upcoming release.,DevOps/Infrastructure,HIGH,5,2026-08-18
Rotate chat credentials for checkout flow,"Security scan flagged a checkout vulnerability in checkout flow. Nice to have, low priority.",Security,LOW,59,2026-10-11
Increase test coverage on billing module,"Coverage on React frontend is below target; add tests before release. Someday/maybe, not time sensitive.",Testing,LOW,37,2026-09-19
Rotate billing credentials for auth service,"Security scan flagged a search vulnerability in mobile app. Someday/maybe, not time sensitive.",Security,LOW,27,2026-09-09
Refactor legacy React frontend code,"Tech debt in search service is slowing down feature work, needs refactor. Critical: production is down, all hands on this now.",Maintenance,URGENT,1,2026-08-14
Configure autoscaling for reporting engine,mobile app deploys are manual and error-prone; automate with CI/CD.,DevOps/Infrastructure,MEDIUM,9,2026-08-22
Design icon set for reporting engine,"Current export UI feels dated, redesign requested by stakeholders. Important for the client demo next week.",Design,HIGH,3,2026-08-16
Evaluate OAuth token libraries for React frontend,"Unclear why mobile app is slow under export; needs investigation. Needed before end of sprint, please prioritize.",Research,HIGH,4,2026-08-17
Create billing integration with billing module,Product wants checkout support added to the payments service module this quarter.,Feature Development,MEDIUM,14,2026-08-27
Patch analytics vulnerability in payments service,"Security scan flagged a reporting vulnerability in notification service. Needed before end of sprint, please prioritize.",Security,HIGH,4,2026-08-17
Add OAuth token filtering to user service dashboard,Customer requested user profile functionality for reporting engine. Can be picked up next quarter.,Feature Development,LOW,55,2026-10-07
Investigate billing performance issue in auth service,Explore whether authentication is viable for the search service rewrite.,Research,MEDIUM,5,2026-08-18
Schedule sprint planning for admin dashboard,Prepare status update for billing to share with leadership.,Meeting/Admin,MEDIUM,5,2026-08-18
Resolve login failure for analytics users,"Users report billing fails intermittently after the latest deploy to auth service. Critical: production is down, all hands on this now.",Bug Fix,URGENT,1,2026-08-14
Audit admin dashboard for security issues,"Compliance requires rotating upload used by React frontend this month. Someday/maybe, not time sensitive.",Security,LOW,43,2026-09-25
Increase test coverage on search service,"The chat flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,11,2026-08-24
Upgrade backend API dependencies,"Tech debt in React frontend is slowing down feature work, needs refactor.",Maintenance,MEDIUM,8,2026-08-21
Spike on billing feasibility for backend API,Team needs a recommendation on search approach for billing module.,Research,MEDIUM,7,2026-08-20
Create onboarding guide for payments service,The analytics process isn't documented anywhere; write a guide.,Documentation,MEDIUM,4,2026-08-17
Fix exposed export endpoint in billing module,Compliance requires rotating chat used by checkout flow this month.,Security,MEDIUM,11,2026-08-24
Write architecture doc for user service,The billing process isn't documented anywhere; write a guide. Can be picked up next quarter.,Documentation,LOW,32,2026-09-14
Set up CI/CD pipeline for checkout flow,"mobile app deploys are manual and error-prone; automate with CI/CD. Needed before end of sprint, please prioritize.",DevOps/Infrastructure,HIGH,5,2026-08-18
Fix broken authentication button on React frontend page,QA found this reproducible on mobile app under reporting load.,Bug Fix,MEDIUM,3,2026-08-16
Add integration tests for payment flow,"The upload flow has no automated tests, causing repeat regressions. No rush, whenever you get a chance.",Testing,LOW,33,2026-09-15
Build new backend API onboarding flow,Design has finalized mockups for the mobile feature in search service.,Feature Development,MEDIUM,9,2026-08-22
Fix exposed user profile endpoint in backend API,"Compliance requires rotating billing used by checkout flow this month. Urgent request from the CEO, needs to ship today.",Security,URGENT,1,2026-08-14
Fix exposed reporting endpoint in checkout flow,"Security scan flagged a SSO vulnerability in search service. Critical: production is down, all hands on this now.",Security,URGENT,0,2026-08-13
Coordinate search kickoff meeting,"Prepare status update for reporting to share with leadership. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,1,2026-08-14
Refactor legacy admin dashboard code,checkout flow dependencies are several versions behind and need upgrading.,Maintenance,MEDIUM,6,2026-08-19
Patch analytics vulnerability in checkout flow,"Security scan flagged a upload vulnerability in mobile app. Needed before end of sprint, please prioritize.",Security,HIGH,5,2026-08-18
Set up retro for mobile app team,Need to align stakeholders on admin dashboard before next sprint.,Meeting/Admin,MEDIUM,7,2026-08-20
Investigate payment performance issue in user service,Unclear why checkout flow is slow under user profile; needs investigation.,Research,MEDIUM,13,2026-08-26
Refactor legacy backend API code,"Remove dead analytics code left over from the old billing module implementation. Someday/maybe, not time sensitive.",Maintenance,LOW,27,2026-09-09
Coordinate session kickoff meeting,"Book time with checkout flow team to discuss SSO plan. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,50,2026-10-02
Fix incorrect reporting calculation in search service,Stack trace shows a payment exception thrown from the payments service handler. Can be picked up next quarter.,Bug Fix,LOW,41,2026-09-23
Investigate OAuth token performance issue in React frontend,Explore whether payment is viable for the user service rewrite. Important for the client demo next week.,Research,HIGH,2,2026-08-15
Create wireframes for authentication flow,"Need updated mockups for notification service before dev starts. Urgent request from the CEO, needs to ship today.",Design,URGENT,1,2026-08-14
Set up retro for auth service team,Need to align stakeholders on payments service before next sprint. This is high priority for the upcoming release.,Meeting/Admin,HIGH,3,2026-08-16
Create wireframes for export flow,Create a design spec for the new backend API experience. This is blocking the release and needs to be fixed ASAP.,Design,URGENT,0,2026-08-13
Audit React frontend for security issues,Pen test found an exposed session in the mobile app API.,Security,MEDIUM,4,2026-08-17
Evaluate payment libraries for React frontend,Explore whether analytics is viable for the billing module rewrite. Can be picked up next quarter.,Research,LOW,45,2026-09-27
Add upload filtering to React frontend dashboard,"Design has finalized mockups for the reporting feature in checkout flow. Nice to have, low priority.",Feature Development,LOW,41,2026-09-23
Add integration tests for checkout flow,Coverage on search service is below target; add tests before release.,Testing,MEDIUM,12,2026-08-25
Fix race condition in mobile app module,Users report reporting fails intermittently after the latest deploy to billing module.,Bug Fix,MEDIUM,13,2026-08-26
Increase test coverage on payments service,"The billing flow has no automated tests, causing repeat regressions.",Testing,MEDIUM,7,2026-08-20
Fix crash when OAuth token on reporting engine,"Users report analytics fails intermittently after the latest deploy to auth service. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,4,2026-08-17
Redesign auth service settings page,"Need updated mockups for notification service before dev starts. Someday/maybe, not time sensitive.",Design,LOW,14,2026-08-27
Investigate user profile performance issue in React frontend,"Team needs a recommendation on user profile approach for notification service. Nice to have, low priority.",Research,LOW,42,2026-09-24
Set up monitoring for backend API service,"Need to migrate React frontend off legacy infrastructure this quarter. Someday/maybe, not time sensitive.",DevOps/Infrastructure,LOW,44,2026-09-26
Investigate analytics performance issue in user service,Team needs a recommendation on OAuth token approach for payments service.,Research,MEDIUM,11,2026-08-24
Build new checkout flow onboarding flow,Design has finalized mockups for the billing feature in reporting engine. This is blocking the release and needs to be fixed ASAP.,Feature Development,URGENT,-1,2026-08-12
Prepare slides for user service review,Need to align stakeholders on admin dashboard before next sprint. This is high priority for the upcoming release.,Meeting/Admin,HIGH,1,2026-08-14
Update README for reporting engine service,"API consumers are confused about payments service usage, needs docs. Someday/maybe, not time sensitive.",Documentation,LOW,34,2026-09-16
Set up retro for reporting engine team,Need to align stakeholders on payments service before next sprint.,Meeting/Admin,MEDIUM,8,2026-08-21
Create wireframes for checkout flow,"Current search UI feels dated, redesign requested by stakeholders. Nice to have, low priority.",Design,LOW,15,2026-08-28
Fix incorrect session calculation in React frontend,"QA found this reproducible on admin dashboard under payment load. Nice to have, low priority.",Bug Fix,LOW,17,2026-08-30
Spike on upload feasibility for admin dashboard,"Team needs a recommendation on checkout approach for mobile app. Needed before end of sprint, please prioritize.",Research,HIGH,1,2026-08-14
Resolve data corruption in search service,"QA found this reproducible on notification service under checkout load. Nice to have, low priority.",Bug Fix,LOW,31,2026-09-13
Design icon set for payments service,"Current OAuth token UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,7,2026-08-20
Write E2E tests for search checkout,"Coverage on admin dashboard is below target; add tests before release. Nice to have, low priority.",Testing,LOW,53,2026-10-05
Prepare slides for checkout flow review,"Book time with search service team to discuss export plan. Customer-facing outage, top priority.",Meeting/Admin,URGENT,-1,2026-08-12
Set up monitoring for notification service service,Ops wants alerting configured for reporting engine before it handles more traffic.,DevOps/Infrastructure,MEDIUM,12,2026-08-25
Design UI mockups for billing module,"Need updated mockups for mobile app before dev starts. Someday/maybe, not time sensitive.",Design,LOW,36,2026-09-18
Patch mobile vulnerability in admin dashboard,Compliance requires rotating upload used by user service this month. Important for the client demo next week.,Security,HIGH,3,2026-08-16
Write architecture doc for checkout flow,New engineers need clearer docs on how payments service works.,Documentation,MEDIUM,8,2026-08-21
Prepare slides for mobile app review,Book time with user service team to discuss chat plan. This is high priority for the upcoming release.,Meeting/Admin,HIGH,3,2026-08-16
Patch memory leak in admin dashboard service,Regression introduced by last sprint's changes to user service; needs a hotfix. Important for the client demo next week.,Bug Fix,HIGH,5,2026-08-18
Redesign payments service settings page,"Current analytics UI feels dated, redesign requested by stakeholders. Nice to have, low priority.",Design,LOW,49,2026-10-01
Schedule sprint planning for payments service,"Need to align stakeholders on payments service before next sprint. Urgent request from the CEO, needs to ship today.",Meeting/Admin,URGENT,-1,2026-08-12
Set up retro for search service team,"Need to align stakeholders on mobile app before next sprint. Someday/maybe, not time sensitive.",Meeting/Admin,LOW,43,2026-09-25
Schedule sprint planning for reporting engine,"Need to align stakeholders on mobile app before next sprint. Urgent request from the CEO, needs to ship today.",Meeting/Admin,URGENT,-1,2026-08-12
